time_sec,commanded_torque,wheel_angle,angular_velocity,driver_torque,eps_torque
2.0829993445659056e-06,150,0.0,0.0,2.0,1.0
0.0038912840000193682,150,0.0,0.0,2.0,1.0
0.006004230000144162,150,0.0,0.0,2.0,1.0
0.008106290999421617,150,0.0,0.0,2.0,1.0
0.010210226999333827,150,0.0,0.0,2.0,1.0
0.013178724999306723,150,0.0,0.0,2.0,1.0
0.015287608000107866,150,0.0,0.0,2.0,1.0
0.017390555000019958,150,0.0,0.0,2.0,1.0
0.019491418000143312,150,0.0,0.0,2.0,1.0
0.021595718999378732,150,0.0,0.0,2.0,1.0
0.02454578099968785,150,0.0,0.0,2.0,1.0
0.026656903999537462,150,0.0,0.0,2.0,1.0
0.028762453999661375,150,0.0,0.0,2.0,1.0
0.030863473999488633,150,0.0,0.0,2.0,1.0
0.03296444099942164,150,0.0,0.0,2.0,1.0
0.03591611799947714,150,0.0,0.0,2.0,1.0
0.038621199999397504,150,0.0,0.0,2.0,8.0
0.04075940399980027,150,0.0,0.0,2.0,8.0
0.042860319999817875,150,0.0,0.0,2.0,8.0
0.044982482999330387,150,0.0,0.0,2.0,8.0
0.0479211399997439,150,0.0,0.0,2.0,8.0
0.05015345099945989,150,0.0,0.0,2.0,8.0
0.05225764699935098,150,0.0,0.0,2.0,8.0
0.054358509999474336,150,0.0,0.0,2.0,8.0
0.056458175999978266,150,0.0,0.0,2.0,8.0
0.060800671999459155,150,0.0,0.0,2.0,8.0
0.06290465999973094,150,0.0,0.0,2.0,8.0
0.06500526299987541,150,0.0,0.0,1.0,8.0
0.06710659500004112,150,0.0,0.0,1.0,8.0
0.07005103199935547,150,0.0,0.0,1.0,8.0
0.07215621799969085,150,0.0,0.0,1.0,8.0
0.07425671700002567,150,0.0,0.0,1.0,8.0
0.0763562259999162,150,0.0,0.0,1.0,8.0
0.07845792299940513,150,0.0,0.0,1.0,8.0
0.0814038709995657,150,0.0,0.0,1.0,8.0
0.08358587299971987,150,0.0,7.437499999999999,-5.0,8.0
0.0856921529993997,150,0.0,7.437499999999999,-5.0,8.0
0.0877929119997134,150,0.0,7.437499999999999,-5.0,8.0
0.09006058399972972,150,0.0,7.437499999999999,-5.0,8.0
0.09300621900001715,150,0.0,7.437499999999999,-5.0,8.0
0.09522301000015432,150,0.0,7.437499999999999,-5.0,8.0
0.09751068100013072,150,0.0,8.924999999999999,-9.0,8.0
0.09968403799939551,150,0.0,8.924999999999999,-9.0,8.0
0.1017868279996037,150,0.0,8.924999999999999,-9.0,8.0
0.10996707100002823,150,0.0,5.949999999999999,-11.0,8.0
0.1120728819996657,150,0.0,5.949999999999999,-11.0,8.0
0.11532218899992586,150,0.0,5.949999999999999,-11.0,8.0
0.11742701099956321,150,1.4874999999999998,5.949999999999999,-13.0,8.0
0.11953026999981375,150,1.4874999999999998,5.949999999999999,-13.0,8.0
0.1216333719994509,150,1.4874999999999998,5.949999999999999,-13.0,8.0
0.12373480899987044,150,1.4874999999999998,7.437499999999999,-16.0,8.0
0.12668086099984066,150,1.4874999999999998,7.437499999999999,-16.0,8.0
0.12878406699928746,150,1.4874999999999998,7.437499999999999,-16.0,8.0
0.13089034699987678,150,1.4874999999999998,7.437499999999999,-16.0,8.0
0.13299360600012733,150,1.4874999999999998,7.437499999999999,-16.0,8.0
0.13509535499997583,150,1.4874999999999998,7.437499999999999,-16.0,8.0
0.13951195899971935,150,1.4874999999999998,10.4125,-18.0,8.0
0.14161834199967416,150,1.4874999999999998,10.4125,-18.0,8.0
0.14371993499935343,150,1.4874999999999998,10.4125,-20.0,8.0
0.14582189199973072,150,1.4874999999999998,10.4125,-20.0,8.0
0.14920905199960544,150,1.4874999999999998,14.874999999999998,-20.0,8.0
0.15131580099932762,150,1.4874999999999998,14.874999999999998,-20.0,8.0
0.15341650799928175,150,1.4874999999999998,14.874999999999998,-20.0,8.0
0.15589280799940752,150,1.4874999999999998,17.849999999999998,-20.0,8.0
0.15883557899996958,150,1.4874999999999998,17.849999999999998,-20.0,8.0
0.16105752600014966,150,1.4874999999999998,17.849999999999998,-20.0,8.0
0.16316135699980805,150,1.4874999999999998,17.849999999999998,-20.0,8.0
0.16526331399927585,150,1.4874999999999998,17.849999999999998,-20.0,8.0
0.16741339199961658,150,1.4874999999999998,17.849999999999998,-20.0,8.0
0.17150799299997743,150,1.4874999999999998,20.825,-20.0,8.0
0.17361135600003763,150,1.4874999999999998,20.825,-20.0,8.0
0.17571263599984377,150,1.4874999999999998,25.287499999999998,-20.0,8.0
0.17781480099984037,150,1.4874999999999998,25.287499999999998,-20.0,8.0
0.18075512399991567,150,1.4874999999999998,25.287499999999998,-20.0,8.0
0.1828605709997646,150,1.4874999999999998,25.287499999999998,-20.0,8.0
0.18496190299993032,150,1.4874999999999998,25.287499999999998,-20.0,8.0
0.1870618809998632,150,1.4874999999999998,25.287499999999998,-20.0,8.0
0.18916779599931033,150,2.9749999999999996,29.749999999999996,-21.0,8.0
0.19216306199996325,150,2.9749999999999996,29.749999999999996,-21.0,8.0
0.1944926559999658,150,2.9749999999999996,31.237499999999997,-20.0,8.0
0.1965969570001107,150,2.9749999999999996,31.237499999999997,-20.0,8.0
0.19869781999932457,150,2.9749999999999996,31.237499999999997,-20.0,8.0
